≈‰ªˆ,≈Â≈‰±‚,,,,,,,,,,,,,,,,,,,,
5YR,77,,,,,,,,,,,,,,,,,,,,
7.5YR,83,,,,,,,,,,,,,,,,,,,,
10YR,8,,,,,,,,,,,,,,,,,,,,
7.5YR,51,,,,,,,,,,,,,,,,,,,,
10YR,63,,,,,,,,,,,,,,,,,,,,
10YR,22,,,,,,,,,,,,,,,,,,,,
10YR,23,,,,,,,,,,,,,,,,,,,,
7.5YR,22,,,,,,,,,,,,,,,,,,,,
7.5YR,44,,,,,,,,,,,,,,,,,,,,
5YR,43,,,,,,,,,,,,,,,,,,,,
2.5YR,42,,,,,,,,,,,,,,,,,,,,
5Y,162,,,,,,,,,,,,,,,,,,,,
5Y,22,,,,,,,,,,,,,,,,,,,,
2.5YR,27,,,,,,,,,,,,,,,,,,,,
7.5YR,206,,,,,,,,,,,,,,,,,,,,
2.5YR,144,,,,,,,,,,,,,,,,,,,,
10YR,154,,,,,,,,,,,,,,,,,,,,
10YR,43,,,,,,,,,,,,,,,,,,,,
7.5YR,54,,,,,,,,,,,,,,,,,,,,
10YR,21,,,,,,,,,,,,,,,,,,,,
2.5YR,19,,,,,,,,,,,,,,,,,,,,
10YR,69,,,,,,,,,,,,,,,,,,,,
10YR,104,,,,,,,,,,,,,,,,,,,,
10YR,35,,,,,,,,,,,,,,,,,,,,
10YR,22,,,,,,,,,,,,,,,,,,,,
7.5YR,26,,,,,,,,,,,,,,,,,,,,
10YR,179,,,,,,,,,,,,,,,,,,,,
7.5YR,192,,,,,,,,,,,,,,,,,,,,
2.5YR,70,,,,,,,,,,,,,,,,,,,,
10YR,375,,,,,,,,,,,,,,,,,,,,
10YR,247,,,,,,,,,,,,,,,,,,,,
5Y,442,,,,,,,,,,,,,,,,,,,,
10YR,55,,,,,,,,,,,,,,,,,,,,
10YR,31,,,,,,,,,,,,,,,,,,,,
10YR,18,,,,,,,,,,,,,,,,,,,,
10YR,116,,,,,,,,,,,,,,,,,,,,
7.5YR,54,,,,,,,,,,,,,,,,,,,,
7.5YR,147,,,,,,,,,,,,,,,,,,,,
7.5YR,85,,,,,,,,,,,,,,,,,,,,
7.5YR,110,,,,,,,,,,,,,,,,,,,,
10YR,17,,,,,,,,,,,,,,,,,,,,
10YR,37,,,,,,,,,,,,,,,,,,,,
10YR,28,,,,,,,,,,,,,,,,,,,,
10YR,34,,,,,,,,,,,,,,,,,,,,
10YR,12,,,,,,,,,,,,,,,,,,,,
10YR,11,,,,,,,,,,,,,,,,,,,,
2.5YR,174,,,,,,,,,,,,,,,,,,,,
10YR,128,,,,,,,,,,,,,,,,,,,,
10YR,156,,,,,,,,,,,,,,,,,,,,
2.5YR,65,,,,,,,,,,,,,,,,,,,,
10YR,1024,,,,,,,,,,,,,,,,,,,,
7.5YR,110,,,,,,,,,,,,,,,,,,,,
7.5YR ,103,,,,,,,,,,,,,,,,,,,,
10YR,64,,,,,,,,,,,,,,,,,,,,
7.5YR,16,,,,,,,,,,,,,,,,,,,,
10YR,37,,,,,,,,,,,,,,,,,,,,
10YR,24,,,,,,,,,,,,,,,,,,,,
10YR,106,,,,,,,,,,,,,,,,,,,,
10YR,186,,,,,,,,,,,,,,,,,,,,
7.5YR,49,,,,,,,,,,,,,,,,,,,,
10YR,15,,,,,,,,,,,,,,,,,,,,
2.5YR,189,,,,,,,,,,,,,,,,,,,,
2.5YR,103,,,,,,,,,,,,,,,,,,,,
10YR,35,,,,,,,,,,,,,,,,,,,,
10YR,126,,,,,,,,,,,,,,,,,,,,
10YR,132,,,,,,,,,,,,,,,,,,,,
10YR,965,,,,,,,,,,,,,,,,,,,,
10YR,36,,,,,,,,,,,,,,,,,,,,
10YR,93,,,,,,,,,,,,,,,,,,,,
10YR,68,,,,,,,,,,,,,,,,,,,,
10YR,10,,,,,,,,,,,,,,,,,,,,
10YR,43,,,,,,,,,,,,,,,,,,,,
10YR,38,,,,,,,,,,,,,,,,,,,,
2.5YR,83,,,,,,,,,,,,,,,,,,,,
10YR,8,,,,,,,,,,,,,,,,,,,,
10YR,92,,,,,,,,,,,,,,,,,,,,
7.5YR,121,,,,,,,,,,,,,,,,,,,,
10YR,214,,,,,,,,,,,,,,,,,,,,
10YR,132,,,,,,,,,,,,,,,,,,,,
7.5YR,159,,,,,,,,,,,,,,,,,,,,
5YR,37,,,,,,10YR,10YR,,,10YR,,,10YR,10YR,10YR,10YR,10 YR,10 YR,,10YR
10YR,299,,,,,,214,132,,,299,,,33,37,81,67,99,136,,207
5YR,6,,,,,,,,,,,,,,,,,,,,
5YR,59,,,,,,,,,,,,,,,,,,,,
10YR,33,,,,10YR,10YR,10YR,10 YR,10YR,10 YR,10YR,10YR,10YR,10YR,7.5 YR,7.5YR,7.5YR,5YR,5YR,5YR,
10YR,37,,,,299,214,207,136,132,99,81,67,37,33,164,159,121,59,37,6,
10YR,81,,,,,,,,,,,,,,,,,,,,
10YR,67,,,,,,,,,,,,,,,,,,,,
10 YR,99,,,,,,,,,,,,,,,,,,,,
10 YR,136,,,,,,,,,,,,,,,,,,,,
7.5 YR,164,,,,,,,,,,,,,,,,,,,,
10YR,207,,,,,,,,,,,,,,,,,,,,
10YR,119,,,,,,,,,,,,,,,,,,,,
 10YR,34,,,,,,,,,,,,,,,,,,,,
 10YR,238,,,,,,,,,,,,,,,,,,,,
 10YR,551,,,,,,,,,,,,,,,,,,,,
7.5YR,984,,,,,,,,,,,,,,,,,,,,
10YR,1947,,,,,,,,,,,,,,,,,,,,
7.5YR,4086,,,,,,,,,,,,,,,,,,,,
10YR,459,,,,,,,,,,,,,,,,,,,,
10YR,15,,,,,,,,,,,,,,,,,,,,
10YR,12,,,,,,,,,,,,,,,,,,,,
10YR,21,,,,,,,,,,,,,,,,,,,,
10YR,63,,,,,,,,,,,,,,,,,,,,
10YR,28,,,,,,,,,,,,,,,,,,,,
7.5YR,3,,,,,,,,,,,,,,,,,,,,
10YR,3,,,,,,,,,,,,,,,,,,,,
10YR,32,,,,,,,,,,,,,,,,,,,,
